date,open,high,low,close,volume
2021-04-05,403.4599914550781,406.94000244140625,403.3800048828125,379.5333251953125,91684800
2021-04-06,405.760009765625,407.239990234375,405.3999938964844,379.3091735839844,62021000
2021-04-07,405.94000244140625,406.9599914550781,405.45001220703125,379.748046875,55836300
2021-04-08,407.92999267578125,408.5799865722656,406.92999267578125,381.5507507324219,57863100
2021-04-09,408.3900146484375,411.6700134277344,408.260009765625,384.3247375488281,61104600
2021-04-12,410.8500061035156,411.92999267578125,410.20001220703125,384.4647216796875,56704900
2021-04-13,411.5299987792969,413.5299987792969,411.1199951171875,385.6042175292969,56551000
2021-04-14,412.8299865722656,413.9599914550781,410.8699951171875,384.2872619628906,61659900
2021-04-15,413.739990234375,416.1600036621094,413.69000244140625,388.4154968261719,60229800
2021-04-16,417.25,417.9100036621094,415.7300109863281,389.7137756347656,82037300
2021-04-19,416.260009765625,416.739990234375,413.7900085449219,387.7990417480469,78498500
2021-04-20,413.9100036621094,415.0899963378906,410.5899963378906,384.9597473144531,81851800
2021-04-21,411.510009765625,416.2900085449219,411.3599853515625,388.6023254394531,66793000
2021-04-22,415.8900146484375,416.7799987792969,411.1300048828125,385.0531005859375,97582800
2021-04-23,412.8699951171875,418.25,412.7900085449219,389.22802734375,73209200
2021-04-26,417.44000244140625,418.2200012207031,416.80999755859375,390.04058837890625,52182400
2021-04-27,417.92999267578125,418.1400146484375,416.29998779296875,389.9565734863281,51303100
2021-04-28,417.80999755859375,419.010009765625,416.8999938964844,389.844482421875,51238900
2021-04-29,420.32000732421875,420.7200012207031,416.44000244140625,392.3289489746094,78544300
2021-04-30,417.6300048828125,418.5400085449219,416.3399963378906,389.75103759765625,85527000
2021-05-03,419.42999267578125,419.8399963378906,417.6700134277344,390.5916442871094,68128300
2021-05-04,416.07000732421875,416.6000061035156,411.6700134277344,388.1820373535156,101591200
2021-05-05,417.3800048828125,417.6300048828125,415.1499938964844,388.303466796875,60162200
2021-05-06,415.8299865722656,419.2099914550781,413.67999267578125,391.404296875,74321400
2021-05-07,419.8900146484375,422.82000732421875,419.1600036621094,394.2528076171875,67733800
2021-05-10,422.5,422.739990234375,417.80999755859375,390.34881591796875,81852400
2021-05-11,413.1000061035156,415.2699890136719,410.05999755859375,386.8651428222656,116888000
2021-05-12,411.2300109863281,412.5899963378906,404.0,378.64599609375,134811000
2021-05-13,407.07000732421875,412.3500061035156,407.0199890136719,383.194580078125,106394000
2021-05-14,413.2099914550781,417.489990234375,413.17999267578125,389.07861328125,82201600
2021-05-17,415.3900146484375,416.3900146484375,413.3599853515625,388.08856201171875,65129200
2021-05-18,415.79998779296875,416.05999755859375,411.7699890136719,384.7449645996094,59810200
2021-05-19,406.9200134277344,411.04998779296875,405.3299865722656,383.7362060546875,106467100
2021-05-20,411.79998779296875,416.6300048828125,411.6700134277344,387.8644714355469,78022200
2021-05-21,416.8699951171875,418.20001220703125,414.45001220703125,387.5469055175781,76578700
2021-05-24,417.3399963378906,420.32000732421875,417.0799865722656,391.4976806640625,51376700
2021-05-25,420.3299865722656,420.7099914550781,417.6199951171875,390.62896728515625,57451400
2021-05-26,418.8699951171875,419.6099853515625,417.760009765625,391.404296875,43088600
2021-05-27,420.1700134277344,420.7200012207031,418.989990234375,391.6097717285156,56707700
2021-05-28,420.9700012207031,421.25,419.7900085449219,392.31024169921875,58520200
2021-06-01,422.57000732421875,422.7200012207031,419.20001220703125,391.9646301269531,54216600
2021-06-02,420.3699951171875,421.2300109863281,419.2900085449219,392.5810241699219,49097100
2021-06-03,417.8500061035156,419.989990234375,416.2799987792969,391.1240539550781,58138800
2021-06-04,420.75,422.9200134277344,418.8399963378906,394.7012023925781,55938800
2021-06-07,422.5899963378906,422.7799987792969,421.19000244140625,394.3182373046875,51555000
2021-06-08,423.1099853515625,423.2099914550781,420.32000732421875,394.40228271484375,47134300
2021-06-09,423.17999267578125,423.260009765625,421.4100036621094,393.8138732910156,48436300
2021-06-10,422.9599914550781,424.6300048828125,421.54998779296875,395.64453125,51020100
2021-06-11,424.20001220703125,424.42999267578125,422.82000732421875,396.2983093261719,45570800
2021-06-14,424.42999267578125,425.3699951171875,423.1000061035156,397.18560791015625,42358500
2021-06-15,425.4200134277344,425.4599914550781,423.5400085449219,396.4570617675781,51508500
2021-06-16,424.6300048828125,424.8699951171875,419.9200134277344,394.2434997558594,80386100
2021-06-17,421.6700134277344,423.0199890136719,419.32000732421875,394.1127624511719,90949700
2021-06-18,417.0899963378906,417.8299865722656,414.70001220703125,388.7960510253906,118676300
2021-06-21,416.79998779296875,421.05999755859375,415.92999267578125,394.3620910644531,72822000
2021-06-22,420.8500061035156,424.0,420.0799865722656,396.470458984375,57700300
2021-06-23,423.19000244140625,424.04998779296875,422.510009765625,395.99249267578125,49445400
2021-06-24,424.8900146484375,425.54998779296875,424.6199951171875,398.3351135253906,45110300
2021-06-25,425.8999938964844,427.0899963378906,425.54998779296875,399.7500305175781,58129500
2021-06-28,427.1700134277344,427.6499938964844,425.8900146484375,400.5558166503906,53159600
2021-06-29,427.8800048828125,428.55999755859375,427.1300048828125,400.7713623046875,35970500
2021-06-30,427.2099914550781,428.7799987792969,427.17999267578125,401.10870361328125,64827900
2021-07-01,428.8699951171875,430.6000061035156,428.79998779296875,403.32952880859375,53441000
2021-07-02,431.6700134277344,434.1000061035156,430.5199890136719,406.412353515625,57697700
2021-07-06,433.7799987792969,434.010009765625,430.010009765625,405.6720886230469,68710400
2021-07-07,433.6600036621094,434.760009765625,431.510009765625,407.1057434082031,63549500
2021-07-08,428.7799987792969,431.7300109863281,427.5199890136719,403.78875732421875,97595200
2021-07-09,432.5299987792969,435.8399963378906,430.7099914550781,408.0989990234375,76238600
2021-07-12,435.42999267578125,437.3500061035156,434.9700012207031,409.560791015625,52889600
2021-07-13,436.239990234375,437.8399963378906,435.30999755859375,408.16455078125,52911300
2021-07-14,437.3999938964844,437.9200134277344,434.9100036621094,408.773681640625,64130400
2021-07-15,434.80999755859375,435.5299987792969,432.7200012207031,407.3775634765625,55126400
2021-07-16,436.010009765625,436.05999755859375,430.9200134277344,404.1822509765625,75874700
2021-07-19,426.19000244140625,431.4100036621094,421.9700012207031,398.2132568359375,147987000
2021-07-20,425.67999267578125,432.4200134277344,424.8299865722656,403.9198303222656,99608200
2021-07-21,432.3399963378906,434.70001220703125,431.010009765625,407.1900634765625,64724400
2021-07-22,434.739990234375,435.7200012207031,433.69000244140625,408.0428161621094,47878500
2021-07-23,437.5199890136719,440.29998779296875,436.7900085449219,412.2407531738281,63766600
2021-07-26,439.30999755859375,441.0299987792969,439.260009765625,413.2528381347656,43719200
2021-07-27,439.9100036621094,439.94000244140625,435.989990234375,411.369384765625,67397100
2021-07-28,439.67999267578125,440.29998779296875,437.30999755859375,411.20062255859375,52472400
2021-07-29,439.82000732421875,441.79998779296875,439.80999755859375,412.90606689453125,47435300
2021-07-30,437.9100036621094,440.05999755859375,437.7699890136719,410.9007873535156,68951200
2021-08-02,440.3399963378906,440.92999267578125,437.2099914550781,410.0387268066406,58783300
2021-08-03,438.44000244140625,441.2799987792969,436.1000061035156,413.37457275390625,58053900
2021-08-04,439.7799987792969,441.1199951171875,438.7300109863281,411.3411560058594,46732200
2021-08-05,440.2200012207031,441.8500061035156,439.8800048828125,413.9461975097656,38969700
2021-08-06,442.1000061035156,442.94000244140625,441.79998779296875,414.63018798828125,46930000
